run_id,environment,run_commit,autoscaler,storage,run_time_est
1774022821877,k8s,4131f02,a4s,ssd,2026-03-20 12:07:01 EDT
1774025360643,k8s,4131f02,a4s,ssd,2026-03-20 12:49:20 EDT
1774028016833,k8s,4131f02,justin,ssd,2026-03-20 13:33:36 EDT
1774030135496,k8s,4131f02,a4s,ssd,2026-03-20 14:08:55 EDT
1774032550070,k8s,4131f02,a4s,ssd,2026-03-20 14:49:10 EDT
1774117714873,k8s,7e4dd11,a4s,ssd,2026-03-21 14:28:34 EDT
1774122179944,k8s,805093c,ds2,ssd,2026-03-21 15:42:59 EDT
1774138079985,k8s,,a4s,ssd,2026-03-21 20:07:59 EDT
1774200270000,k8s,26fd8dd,a4s,ssd,2026-03-22 13:24:30 EDT
1774288938442,k8s,b65a0e5,a4s,ssd,2026-03-23 14:02:18 EDT
1774296957612,k8s,5686f5e,justin,ssd,2026-03-23 16:15:57 EDT
1774298902747,k8s,5686f5e,ds2,ssd,2026-03-23 16:48:22 EDT
1774301828416,k8s,7f9e73a,a4s,ssd,2026-03-23 17:37:08 EDT
1774365897128,k8s,70c6acf,a4s,ssd,2026-03-24 11:24:57 EDT
1774367913653,k8s,70c6acf,a4s,ssd,2026-03-24 11:58:33 EDT
